run,variant,seed,mean_return,success_rate
l2sq_seed0,l2sq,0,-56.67024724337215,0.431
decay500000_1M,decay500000,0,-57.5242137719436,0.352
decay300000_500K_l2sq_a_5,decay300000,0,-350.23858057408944,0.283
l2_500K_alpha_5,l2,0,-1179.2106577985694,0.165
none_seed0,none,0,-157.38624609477597,0.221
decay300000_1M_l2sq_a_5,decay300000,0,-276.43149037816704,0.344
l2sq_500K_alpha_5,l2sq,0,-805.9008794040169,0.388
decay500000_500K_alpha_5,decay500000,0,-382.00812992062924,0.184
none_1M,none,0,-128.93233443133607,0.191
decay300000_500K_alpha_5,decay300000,0,-914.0824444886252,0.295
decay500000_500K_l2sq_a_5,decay500000,0,-1109.495918995218,0.208
l2sq_1M,l2sq,0,-68.17044972011814,0.278
decay200000_1M_l2sq_a_5,decay200000,0,-662.3526458596764,0.212
decay200000_500K_alpha_5,decay200000,0,-771.7459254725792,0.203
l2_1M,l2,0,-81.91159996438603,0.428
decay200000_1M,decay200000,0,-94.54704902037686,0.248
decay500000_1M_l2sq_a_5,decay500000,0,-427.60132758372646,0.232
decay500000_seed,decay500000,0,-97.711913643321,0.184
decay300000_1M,decay300000,0,-67.21613730976603,0.502
decay300000_seed,decay300000,0,-244.25500420837366,0.367
decay200000_500K_l2sq_a_5,decay200000,0,-233.23285377264025,0.337
none_500K_alpha_5,none,0,-282.14882067532403,0.503
decay200000_seed,decay200000,0,-61.65498343185428,0.278
l2_seed0,l2,0,-120.45560415502466,0.401
